,Title,Location,Company,Review,Summary
48,Data Scientist (w/m/d) Industrial IoT,,        Siemens AG,,            Sie verstärken am Fertigungsstandort in Berlin als Data Scientist Industrial IoT unser Team bei der Umsetzung unserer Digitalisierungsstrategie....
49,            Junior Data Scientist (m/w/d) Medical Devices,,        Fresenius Medical Care,,            Schlussendlich arbeiten Sie zusammen mit dem Senior Data Scientist an interessanten Projekten – mit moderner Technologie und AI machen Sie unsere Medizintechnik...
50,DATA SCIENTIST (m/f/d),Berlin,        YUNAR by Ambidexter GmbH,,            A passion to define and implement data infrastructure to retrieve data and operate the models and methods defined by you....
51,Data Scientist,Berlin,        Bosch Gruppe,,"            Praktische Berufserfahrung im Bereich Data Analytics / Big Data, ausgeprägtes Wissen im Bereich multivariater, statistischer Methoden und erste Erfahrung mit..."
52,            Developer / Data Scientist (m/f/d) for Machine Learning appl...,Berlin,        Munich Innovation Labs GmbH,,            Developer / Data Scientist (m/f/d) for Machine Learning applications*. Has an interest in data analysis with state-of-the-art machine learning frameworks...
53,Data Scientist,Berlin,        Wooga,,"            You are proficient in using Python for data analysis, and you can use SQL effectively to query large volumes of data...."
54,Data Scientist Pricing (f/m/d),Berlin,        car2go,,            Related Keywords for Data Scientist Pricing (f/m/d):. Experience in visualizing complex data is an asset. You are passionate about data analysis and statistical...
55,Data Scientist,Berlin,        Sellics Marketplace Analytics GmbH,,"            Doing data mining using state-of-the-art methods. Processing, cleansing, and verifying the integrity of data used for analysis...."
56,Data Scientist Natural Language Processing,Berlin,        VoiXen GmbH,,            Stellenausschreibung Data Scientist Natural Language Processing (m/w/d). Du hast bereits hinreichend Erfahrung als Data Scientist im Bereich Natural Language...
57,Data Scientist (w/m/d),Berlin,        SMACC GmbH,,"            You will work with state-of-the art machine learning and statistical models as a full-time data scientist, and deploy NLP/text mining models to production...."
58,Data Scientist,Berlin,        Oviva AG,,Data Scientist (100%)*. Experience with Big Data or other data crunching tools is a plus. You can apply data analysis and visualization techniques to gain...
59,Data Scientist,Berlin,        softgarden e-recruiting GmbH,,            3+ years of experience in data analysis and data science. Help consolidate our variaty of data sources. They will also build tools and support structures needed...
60,            Senior Data Scientist (m/w/d) Medical Devices,,        Fresenius Medical Care,,"            Mindestens zwei Jahre Berufserfahrung in einer anspruchsvollen Data Science Rolle, idealerweise im Kontext von Medizintechnik oder Health Care...."
61,Data Scientist (f/m/x) - Frankfurt am Main,,        COBI.Bike GmbH,,"            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to..."
62,Data Scientist (m/w/d),,        etventure GmbH,,"            Mindestens 3 Jahre Berufserfahrung im Bereich Data Science, Advanced Data Analytics, Machine Learning oder Business Intelligence...."
63,            Senior Data Scientist (m/w/d),,        AKKA TECHNOLOGIES,,            Als Senior Data Scientist sind Sie für die Konzeption und Umsetzung von innovativen Lösungen auf Basis von Analytics und Data Science für unsere Kunden verantwortlich....
64,Data Scientist - Automotive (m/w/d),,        NorCom Information Technology GmbH & Co. KGaA,,            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt. Du experimentierst mit neuen Vorgehensweisen und ermöglichst unseren Kunden...
65,Data Scientist (m/w/d) - München,,        IUBH Internationale Hochschule GmbH,,Data Scientist (m/w/d) - München. Du bist Data Scientist aus Leidenschaft und begeisterst Dich für die Fragestellungen unserer Fachbereiche....
66,            Lead Data Scientist (w/m/d) Machine Learning,,        Siemens AG,,            Sie bringen langjährige einschlägige Projekterfahrung im Bereich Data Analytics mit Schwerpunkt Maschinellem Lernen bzw. In dieser Position sind Sie hauptverantwortlich für die konzeptionelle...
67,Data Scientist Intern,München,        Bragi,,Data Scientist Intern. We are looking for a Data Scientist Intern with a passion for innovation to join our team. Support and lead data generation by collecting and managing sensor streams....
68,Data Scientist (m/f/d),München,        AWS EMEA SARL (Germany Branch),,            Interested in creating new state-of-the-art solutions using Machine Learning and Data Mining techniques on Terabytes of Data? Strong communication and data presentation skills....
69,            Junior Data Scientist (F/M/D),München,        Oerlikon,,"            Junior Data Scientist (F/M/D). An enthusiastic Junior Data Scientist (F/M/D). Experience in big data/ data analytics, with a focus on the Hadoop Ecosystem (Hortonworks) and scale-out systems,..."
70,            Junior Data Scientist (m/f),München,        Octimine Technologies,,"            Challenging data projects with patent, science & company data – structured and unstructured. Use of deep learning algorithms to improve our data quality...."
71,            (Junior) Data Scientist (M/W/D),München,        thaltegos,,"            (JUNIOR) DATA SCIENTIST (M/W/D). Praktische Erfahrung im Bereich Data Science,. Die thaltegos GmbH verbindet strategische Analysefähigkeit mit datengetriebener Managementberatung...."
72,Data Scientist (m/f/x),München,        XING Events GmbH,,"            Solve challenging problems in the context of real-time processing, machine learning, Big Data, distributed systems. Write code for processing and analyzing large amounts of data and help designing new..."
73,Data Scientist (m/f/d) Digital Health Services in Allianz Di...,München,        Allianz SE (global headquarters),,"            Extensive working experience as a data scientist. As a data scientist you will be responsible for analyzing complex data sets, developing machine learning models and implementing prototypes...."
74,Data Scientist (m/f/d) - Deep Learning Specialist,München,        E.ON,,"            Therefore, we're looking for an experienced data scientist, understanding to make data as a core value for todays and future business by delivering advanced data analytical insights...."
75,            Junior Data Scientist Machine Learning / Natural Language Pr...,München,        FINLYTICS,,            Was dich im Rahmen deiner Aufgaben bei uns erwartet Du arbeitest dich in Problemstellungen aus dem Bereich FinTech ein und erarbeitest Lösungen auf Basis eines reichhaltigen Datensatzes – u.a. mit...
76,            Graduate Data Scientist - Germany (Munich),München,        Amazon Web Services Germany Gm,,"            Experience giving data presentations. Working with our Professional Services Data Science, Big Data and DevOps consultants to build and optimize machine learning flows...."
